stageNumber,stageTitle,learningCardNumber,learningCardId,learningCardTitle,primaryLearningObjective,exerciseExists,exerciseId,exerciseTitle,exerciseType,exercisePrompt,learnerAction,itemsChoicesNodesSteps,correctOrTargetBehavior,feedbackBehavior,progressStored,randomizationUsed,fixedOrderRequired,supportsLearningObjective,duplicatesCheckpoint,duplicatesVisualAid,mobileUsabilityNotes,recommendation,priorityBefore,priorityAfter,fixApplied,rubricScores,rubricAverage,exerciseIssues,manualReviewNotes,screenshot320,screenshot390,screenshotDesktop
5,The Day Repeats,24,context-window,Context Window,The context window is the limited amount of tokens or media the model can consider at one time. Practice boundary: The context window is permanent memory.,true,context-window-tray,Push the context items,card stack / tray,Tap items into a four-slot window and watch the oldest item fall out.,Push items into a bounded context tray.,old message | system instruction | user prompt | retrieved note | response so far,Observe the oldest item fall out after the window fills.,Temporary-window feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The fixed order makes the capacity limit visible.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed ambiguous “card” wording to “item” in the Journey copy and live context-tray feedback.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/24-context-window-320.png,screenshots/v0-28-10/24-context-window-390.png,screenshots/v0-28-10/24-context-window-1024.png
5,The Day Repeats,25,rag-retrieval,RAG and Retrieval,"Retrieval-augmented generation, or RAG, retrieves outside information and places it into the model’s current context before the model generates a response. Practice boundary: RAG is training, permanent memory, guaranteed truth, or consciousness.",true,rag-lane-highlight,Trace the retrieval lanes,tap-to-cycle,"Tap prompt, retriever, notes, context tray, and response to see retrieval plus context, not training.","Trace prompt, retriever, retrieved notes, context tray, and response.",prompt | retriever | retrieved notes | context tray | response,"See retrieval plus context, not training.",Retrieval-plus-context feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,RAG has a stepwise system path.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/25-rag-retrieval-320.png,screenshots/v0-28-10/25-rag-retrieval-390.png,
5,The Day Repeats,26,grounding,Grounding,"Grounding means connecting a model’s response to available evidence, such as retrieved documents, citations, data, or tool results. Practice boundary: A citation-looking answer is automatically grounded.",true,grounding-claim-match,Match claims to evidence,connect node,Connect supported claims to evidence and leave unsupported claims unanchored.,Connect claims to supporting evidence.,supported claim | evidence | unsupported claim,Connect supported claims and leave unsupported claims unanchored.,Evidence-match feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed examples prevent source confusion.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.9,,,screenshots/v0-28-10/26-grounding-320.png,screenshots/v0-28-10/26-grounding-390.png,
5,The Day Repeats,27,hallucinations,Hallucinations,"A hallucination is a fluent model output that is unsupported, false, fabricated, or not grounded in the available evidence. Practice boundary: A hallucination means the model is lying or malicious.",true,hallucination-support-check,Mark missing supports,single choice,Read three fluent claims and mark the ones that need evidence.,Choose the fluent claim that needs evidence before trust.,supported policy claim | unsupported date claim | review-needed caveat,Select the unsupported fluent claim.,Unsupported-output feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The contrast depends on stable evidence labels.,Yes. It practices the lesson mechanism or misconception boundary.,Partial risk: watch during human testing so it does not feel like a second checkpoint.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":4,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/27-hallucinations-320.png,screenshots/v0-28-10/27-hallucinations-390.png,
6,Twilight: The Wider Landscape,28,how-ai-learns,How AI Learns,"AI systems can change or behave differently through durable training, human feedback, retrieval, prompting, or temporary in-context steering. Practice boundary: Any useful response means the model permanently learned something.",true,learning-modes-sort,Sort the learning modes,sort / group,"Durable update, temporary steering, retrieval, and evaluation solve different problems.","Sort durable update, temporary steering, retrieval, and evaluation modes.",pretraining | prompting | RAG | evaluation,Assign each learning or steering mode to the right mechanism.,What-changed feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Stable options preserve the mechanism map.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/28-how-ai-learns-320.png,screenshots/v0-28-10/28-how-ai-learns-390.png,
6,Twilight: The Wider Landscape,29,diffusion,Diffusion vs Autoregression,"Autoregressive models generate one token at a time, while diffusion models often generate by gradually denoising a noisy pattern. Practice boundary: All generative AI works like ChatGPT.",true,diffusion-contrast,Step through two loops,comparison toggle,Tap Token path or Denoise path to compare append-and-repeat with denoise-and-refine.,Step through token append path and denoise path.,token path | denoise path,Compare autoregressive text with diffusion denoising.,Autoregression-versus-diffusion feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The comparison follows two named paths.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.9,,,screenshots/v0-28-10/29-diffusion-320.png,screenshots/v0-28-10/29-diffusion-390.png,
6,Twilight: The Wider Landscape,30,multimodal,Multimodal AI,"Multimodal AI works with more than one kind of input or output, such as text, images, audio, video, or code. Practice boundary: Multimodal AI has human-like perception or feelings.",true,multimodal-map,Match media lanes,mixed / other,Tap an input-output pair to see how different media can be represented or connected.,Tap an input-output media pair.,image to caption | audio to transcript | text to image,See different media represented or connected together.,Representation-not-human-senses feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed pairs keep multimodal examples concrete.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":4,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/30-multimodal-320.png,screenshots/v0-28-10/30-multimodal-390.png,
6,Twilight: The Wider Landscape,31,perfect-storm,The Perfect Storm,"Modern LLMs became possible when human-created digital data, powerful compute and storage, deep-learning methods, human labor, and economic incentives converged. Practice boundary: LLMs appeared because of one event.",true,perfect-storm-ingredients,Tap storm ingredients,tap-to-cycle,"Tap each stream to see why capability came from many converging conditions, not one mysterious spark.",Tap converging ingredient streams.,data | compute | storage | methods | labor | incentives,Reveal convergence rather than one spark.,Convergence-not-spark feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The ingredient list is the concept map.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/31-perfect-storm-320.png,screenshots/v0-28-10/31-perfect-storm-390.png,
7,Midnight Ledger,32,collective-intelligence,"Collective Intelligence, Extracted","Generative AI depends on patterns learned from human-created language, art, code, documents, research, and culture. Practice boundary: The model created its abilities alone.",true,collective-human-questions,Which questions stay human?,sort / group,Sort rights and source questions away from model mechanics.,Sort human-rights questions away from model mechanics.,creator consent | source credit | token probability | weight update,Separate institutional questions from model mechanics.,Accountability feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed set keeps ethics and mechanics separate.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P2,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":3}",4.2,,"Watch in human testing for abstraction level, redundancy, or replay value.",screenshots/v0-28-10/32-collective-intelligence-320.png,screenshots/v0-28-10/32-collective-intelligence-390.png,
7,Midnight Ledger,33,costs-we-must-count,Costs We Must Count,"Generative AI has physical, social, cultural, and ethical costs that must be counted honestly. Practice boundary: Digital means weightless or cost-free.",true,cost-ledger,Tap the cost ledger,tap-to-cycle,Tap a ledger entry to see what responsible AI literacy has to count.,Tap cost ledger entries.,energy | water | labor | infrastructure | maintenance,Name costs responsible AI literacy has to count.,Countable-cost feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Ledger order is not assessed.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/33-costs-we-must-count-320.png,screenshots/v0-28-10/33-costs-we-must-count-390.png,
7,Midnight Ledger,34,risk-myth,Risk vs Myth,"Risk literacy means separating practical, mechanism-based AI risks from myths or unsupported claims about what models are. Practice boundary: Risk only means sci-fi doom, or every fluent model has a mind.",true,risk-myth-sort,Sort risk from myth,sort / group,Sort each claim as a real mechanism risk or an unsupported story.,Sort practical risks from unsupported stories.,privacy leak | bad automation | model wants power | instant omniscience,Separate mechanism-backed risks from myths.,Mechanism-risk feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Stable claims support misconception repair.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/34-risk-myth-320.png,screenshots/v0-28-10/34-risk-myth-390.png,
8,New Dawn,35,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,AI benefits are strongest when models amplify human judgment rather than replacing accountability. Practice boundary: AI benefits require believing in imminent utopia.,true,benefit-tier-sort,Sort benefit strength,sort / group,"Sort benefit claims by confidence: useful now with review, plausible with safeguards, or speculative hype.",Sort benefit claims by evidence strength.,useful with review | plausible with safeguards | speculative hype,Classify benefits without hype.,Bounded-benefit feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The three tiers are the reasoning frame.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P2,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":3}",4.2,,"Watch in human testing for abstraction level, redundancy, or replay value.",screenshots/v0-28-10/35-benefits-worth-taking-seriously-320.png,screenshots/v0-28-10/35-benefits-worth-taking-seriously-390.png,
8,New Dawn,36,human-centered-ai,Human-Centered AI,"Human-centered AI asks whether a system supports dignity, learning, responsibility, creativity, relationships, and the common good. Practice boundary: If AI is powerful, it should decide.",true,human-centered-scenario,Center the human purpose,single choice,"Choose the deployment that keeps people, review, and institutional accountability visible.",Choose the more human-centered deployment.,reviewable workflow | blind automation,Select the accountable deployment.,Review-and-accountability feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The two scenarios form a boundary contrast.,Yes. It practices the lesson mechanism or misconception boundary.,Partial risk: watch during human testing so it does not feel like a second checkpoint.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":4,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/36-human-centered-ai-320.png,screenshots/v0-28-10/36-human-centered-ai-390.png,
8,New Dawn,37,better-ai-choice,Better AI Is a Choice,"The costs are shaped by design, deployment, governance, and incentives. Practice boundary: The harms are inevitable if the technology is useful.",true,better-ai-levers,Choose the better path,multi-select,Choose all design and governance levers that reduce risk or cost for an internal policy assistant.,Choose all design and governance levers that reduce risk or cost.,approved RAG | privacy | source review | task-fit model | monitoring | bad counterexamples,Select all useful levers and no risky counterexamples.,Selected lever feedback plus risk correction.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed options keep multi-select review short.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Added explicit “Choose all” language for the multi-select governance levers.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":4,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/37-better-ai-choice-320.png,screenshots/v0-28-10/37-better-ai-choice-390.png,screenshots/v0-28-10/37-better-ai-choice-1024.png
8,New Dawn,38,effective-prompting-literacy,Effective Prompting from Model Literacy,"Good prompts work because they shape the current context: task, constraints, examples, data, audience, evidence needs, uncertainty, and output format. Practice boundary: Prompting is special wording or permanent teaching.",true,prompt-builder,Pack the context tray,multi-select,"Choose all missing prompt parts: task, audience/context, constraints, examples, evidence, uncertainty, format, and review cues.",Choose all missing context parts for a stronger prompt.,task | audience | constraints | examples | format | evidence | uncertainty | review,Add all missing prompt parts while keeping the task fixed.,Context-design feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Stable parts reinforce prompt-as-context design.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Added explicit “Choose all” language for the multi-select prompt-part picker.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":4,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/38-effective-prompting-literacy-320.png,screenshots/v0-28-10/38-effective-prompting-literacy-390.png,screenshots/v0-28-10/38-effective-prompting-literacy-1024.png
8,New Dawn,39,model-literate-synthesis,Model Literate Synthesis,Model literacy means understanding both the mechanics and the human consequences. Practice boundary: Fluency equals understanding or wisdom.,true,synthesis-chain,Light the map,ordered sequence,"Put the model story in order, from prompt context to human accountability.",Put the model-literacy chain in order.,prompt | tokens | hidden states | logits | softmax | sample | append | human review,Order the mechanics-to-accountability chain.,Mechanics-to-accountability feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The synthesis is explicitly sequential.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P2,P2,,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":4,""misconceptionValue"":4,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":3}",4,,"Watch in human testing for abstraction level, redundancy, or replay value.",screenshots/v0-28-10/39-model-literate-synthesis-320.png,screenshots/v0-28-10/39-model-literate-synthesis-390.png,screenshots/v0-28-10/39-model-literate-synthesis-1024.png
